pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall,config_label
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s0,0,3.743310209130868,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5675,1200,964,681,681,0.9977011494252872,0.0046242774566473,5,0.9004149377593361,0.9024896265560166,1.0,1.0,0.0,5,0.3008298755186722,0.6131078224101479,0.4906639004149377,balanced
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s1,1,3.918856549076736,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5891666666666666,1200,965,707,707,0.9977477477477478,0.0045351473922902,6,0.9181347150259068,0.9202072538860104,1.0,1.0,0.0,9,0.3419689119170984,0.6586826347305389,0.5191709844559586,balanced
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s2,2,3.83495000586845,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.6033333333333334,1200,972,724,724,1.0,0.0,2,0.9393004115226338,0.9393004115226338,1.0,1.0,0.0,8,0.345679012345679,0.6499032882011605,0.5318930041152263,balanced
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s3,3,3.775010006967932,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,0.997275204359673,0.61,1200,956,734,732,0.997837837837838,0.004343105320304,4,0.9654811715481172,0.9675732217573222,1.0,1.0,0.0,6,0.2876569037656903,0.5489021956087824,0.5240585774058577,balanced
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/balanced_s4,4,4.069030536105856,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.615,1200,949,738,738,0.9989235737351992,0.0021574973031283,2,0.9778714436248684,0.9789251844046364,1.0,0.8111888111888111,0.0035587188612099,5,0.244467860906217,0.5742971887550201,0.5247629083245522,balanced
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s0,0,3.829265906009823,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,15,20,20,1.0,0.5675,1200,964,681,681,0.9961439588688946,0.0077821011673151,7,0.803941908713693,0.8070539419087137,1.0,0.9965034965034965,0.007168458781362,7,0.2956431535269709,0.6046511627906976,0.4906639004149377,caller_only
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s1,1,4.13499221787788,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,15,20,20,1.0,0.5891666666666666,1200,965,707,707,0.9974193548387096,0.0052083333333333,7,0.8010362694300518,0.8031088082901554,1.0,1.0,0.0,11,0.3357512953367875,0.6467065868263473,0.5191709844559586,caller_only
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s2,2,4.11689384886995,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,15,20,20,1.0,0.6033333333333334,1200,972,724,724,0.99761620977354,0.0047846889952153,3,0.8611111111111112,0.8631687242798354,1.0,1.0,0.0,10,0.3374485596707819,0.6344294003868471,0.5318930041152263,caller_only
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s3,3,4.083383905002847,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,15,20,20,0.997275204359673,0.61,1200,956,734,732,0.9877300613496932,0.023543990086741,8,0.8420502092050209,0.852510460251046,1.0,0.9847908745247148,0.0275590551181102,9,0.2709205020920502,0.5249500998003992,0.5240585774058577,caller_only
output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/frontier_config_comparison/caller_only_s4,4,4.105528266867623,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,15,20,20,1.0,0.615,1200,949,738,738,1.0,0.0,6,0.8408851422550052,0.8408851422550052,1.0,0.8808664259927798,0.0037174721189591,8,0.2571127502634352,0.5562248995983936,0.5247629083245522,caller_only
