pipeline_json,seed,called_shared_het_recall,called_phasing_rate_shared_het,called_phase_accuracy,called_effective_phased_recall,called_loss_calling_or_sites,called_loss_unphased,called_loss_switch_or_phase_error,called_effective_phased_recall_check
output/experiments_all/01_depth_curve/r100_s0.pipeline.json,0,0.286833855799373,0.5355191256830601,1.0,0.1536050156739812,0.713166144200627,0.13322884012539182,0.0,0.15360501567398116
output/experiments_all/01_depth_curve/r100_s1.pipeline.json,1,0.3099688473520249,0.4974874371859296,1.0,0.1542056074766355,0.6900311526479751,0.15576323987538943,0.0,0.15420560747663548
output/experiments_all/01_depth_curve/r100_s2.pipeline.json,2,0.2461538461538461,0.51875,0.8795180722891566,0.1123076923076923,0.7538461538461538,0.11846153846153842,0.01538461538461539,0.1123076923076923
output/experiments_all/01_depth_curve/r200_s0.pipeline.json,0,0.6300940438871473,0.8308457711442786,0.9041916167664672,0.4733542319749216,0.3699059561128527,0.10658307210031348,0.050156739811912154,0.47335423197492166
output/experiments_all/01_depth_curve/r200_s1.pipeline.json,1,0.5747663551401869,0.6558265582655827,0.7231404958677686,0.2725856697819314,0.4252336448598131,0.19781931464174454,0.10436137071651089,0.2725856697819315
output/experiments_all/01_depth_curve/r200_s2.pipeline.json,2,0.5661538461538461,0.9375,1.0,0.5307692307692308,0.4338461538461539,0.03538461538461538,0.0,0.5307692307692308
output/experiments_all/01_depth_curve/r400_s0.pipeline.json,0,0.8887147335423198,0.9964726631393298,1.0,0.8855799373040752,0.11128526645768022,0.003134796238244514,0.0,0.8855799373040752
output/experiments_all/01_depth_curve/r400_s1.pipeline.json,1,0.8364485981308412,0.9869646182495344,0.9981132075471698,0.82398753894081,0.16355140186915884,0.010903426791277294,0.0015576323987538936,0.82398753894081
output/experiments_all/01_depth_curve/r400_s2.pipeline.json,2,0.8353846153846154,0.988950276243094,1.0,0.8261538461538461,0.1646153846153846,0.009230769230769207,0.0,0.8261538461538462
output/experiments_all/01_depth_curve/r50_s0.pipeline.json,0,0.1724137931034483,0.1909090909090909,1.0,0.0329153605015673,0.8275862068965517,0.13949843260188088,0.0,0.032915360501567396
output/experiments_all/01_depth_curve/r50_s1.pipeline.json,1,0.1246105919003115,0.2875,1.0,0.0358255451713395,0.8753894080996885,0.08878504672897194,0.0,0.035825545171339554
output/experiments_all/01_depth_curve/r50_s2.pipeline.json,2,0.0892307692307692,0.5862068965517241,1.0,0.0523076923076923,0.9107692307692308,0.03692307692307691,0.0,0.052307692307692284
