pipeline_json,seed,oracle_shared_het_recall,oracle_phasing_rate_shared_het,oracle_phase_accuracy,oracle_effective_phased_recall,oracle_loss_calling_or_sites,oracle_loss_unphased,oracle_loss_switch_or_phase_error,oracle_effective_phased_recall_check
output/experiments_all/01_depth_curve/r100_s0.pipeline.json,0,1.0,0.7978056426332288,0.9980353634577604,0.7962382445141066,0.0,0.20219435736677116,0.0015673981191221494,0.7962382445141067
output/experiments_all/01_depth_curve/r100_s1.pipeline.json,1,1.0,0.764797507788162,0.9979633401221996,0.7632398753894081,0.0,0.23520249221183798,0.001557632398753919,0.7632398753894081
output/experiments_all/01_depth_curve/r100_s2.pipeline.json,2,1.0,0.7015384615384616,0.9846491228070176,0.6907692307692308,0.0,0.29846153846153844,0.010769230769230764,0.6907692307692308
output/experiments_all/01_depth_curve/r200_s0.pipeline.json,0,1.0,0.9545454545454546,1.0,0.9545454545454546,0.0,0.045454545454545414,0.0,0.9545454545454546
output/experiments_all/01_depth_curve/r200_s1.pipeline.json,1,1.0,0.912772585669782,1.0,0.912772585669782,0.0,0.08722741433021797,0.0,0.912772585669782
output/experiments_all/01_depth_curve/r200_s2.pipeline.json,2,1.0,0.9061538461538462,0.9881154499151104,0.8953846153846153,0.0,0.0938461538461538,0.01076923076923077,0.8953846153846154
output/experiments_all/01_depth_curve/r400_s0.pipeline.json,0,1.0,0.9796238244514106,1.0,0.9796238244514106,0.0,0.020376175548589393,0.0,0.9796238244514106
output/experiments_all/01_depth_curve/r400_s1.pipeline.json,1,1.0,0.9579439252336448,0.9983739837398374,0.956386292834891,0.0,0.0420560747663552,0.00155763239875386,0.956386292834891
output/experiments_all/01_depth_curve/r400_s2.pipeline.json,2,1.0,0.9723076923076924,1.0,0.9723076923076924,0.0,0.02769230769230757,0.0,0.9723076923076924
output/experiments_all/01_depth_curve/r50_s0.pipeline.json,0,1.0,0.5532915360501567,0.9971671388101984,0.5517241379310345,0.0,0.4467084639498433,0.0015673981191222232,0.5517241379310345
output/experiments_all/01_depth_curve/r50_s1.pipeline.json,1,1.0,0.5280373831775701,1.0,0.5280373831775701,0.0,0.4719626168224299,0.0,0.5280373831775701
output/experiments_all/01_depth_curve/r50_s2.pipeline.json,2,1.0,0.4615384615384615,0.9966666666666668,0.46,0.0,0.5384615384615385,0.0015384615384614715,0.46
