pipeline_json,seed,called_shared_het_recall,called_phasing_rate_shared_het,called_phase_accuracy,called_effective_phased_recall,called_loss_calling_or_sites,called_loss_unphased,called_loss_switch_or_phase_error,called_effective_phased_recall_check
output/experiments_all/02_ablation_dropout/df0.05_s0.pipeline.json,0,0.5689655172413793,0.743801652892562,0.8333333333333334,0.3526645768025078,0.43103448275862066,0.14576802507836994,0.07053291536050155,0.35266457680250785
output/experiments_all/02_ablation_dropout/df0.05_s1.pipeline.json,1,0.5950155763239875,0.7382198952879581,1.0,0.4392523364485981,0.4049844236760125,0.15576323987538943,0.0,0.43925233644859807
output/experiments_all/02_ablation_dropout/df0.05_s2.pipeline.json,2,0.563076923076923,0.6038251366120219,0.7013574660633484,0.2384615384615384,0.43692307692307697,0.22307692307692306,0.10153846153846155,0.23846153846153842
output/experiments_all/02_ablation_dropout/df0.0_s0.pipeline.json,0,0.6300940438871473,0.8308457711442786,0.9041916167664672,0.4733542319749216,0.3699059561128527,0.10658307210031348,0.050156739811912154,0.47335423197492166
output/experiments_all/02_ablation_dropout/df0.0_s1.pipeline.json,1,0.5747663551401869,0.6558265582655827,0.7231404958677686,0.2725856697819314,0.4252336448598131,0.19781931464174454,0.10436137071651089,0.2725856697819315
output/experiments_all/02_ablation_dropout/df0.0_s2.pipeline.json,2,0.5661538461538461,0.9375,1.0,0.5307692307692308,0.4338461538461539,0.03538461538461538,0.0,0.5307692307692308
output/experiments_all/02_ablation_dropout/df0.1_s0.pipeline.json,0,0.5391849529780565,0.6337209302325582,1.0,0.341692789968652,0.46081504702194354,0.1974921630094044,0.0,0.34169278996865204
output/experiments_all/02_ablation_dropout/df0.1_s1.pipeline.json,1,0.5342679127725857,0.478134110787172,1.0,0.2554517133956386,0.4657320872274143,0.27881619937694707,0.0,0.2554517133956386
output/experiments_all/02_ablation_dropout/df0.1_s2.pipeline.json,2,0.5523076923076923,0.5821727019498607,1.0,0.3215384615384615,0.4476923076923077,0.23076923076923075,0.0,0.3215384615384615
output/experiments_all/02_ablation_dropout/df0.2_s0.pipeline.json,0,0.3573667711598746,0.4517543859649123,1.0,0.1614420062695925,0.6426332288401254,0.19592476489028213,0.0,0.16144200626959246
output/experiments_all/02_ablation_dropout/df0.2_s1.pipeline.json,1,0.3738317757009345,0.2875,0.6086956521739131,0.0654205607476635,0.6261682242990655,0.26635514018691586,0.042056074766355124,0.06542056074766353
output/experiments_all/02_ablation_dropout/df0.2_s2.pipeline.json,2,0.4230769230769231,0.3127272727272727,1.0,0.1323076923076923,0.5769230769230769,0.2907692307692308,0.0,0.1323076923076923
