pipeline_json,seed,called_shared_het_recall,called_phasing_rate_shared_het,called_phase_accuracy,called_effective_phased_recall,called_loss_calling_or_sites,called_loss_unphased,called_loss_switch_or_phase_error,called_effective_phased_recall_check
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq0_s0.pipeline.json,0,0.483402489626556,0.6158798283261803,1.0,0.2977178423236514,0.5165975103734439,0.18568464730290457,0.0,0.29771784232365145
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq0_s1.pipeline.json,1,0.5170984455958549,0.6633266533066132,1.0,0.3430051813471502,0.48290155440414506,0.17409326424870467,0.0,0.34300518134715025
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq0_s2.pipeline.json,2,0.5164609053497943,0.6354581673306773,1.0,0.3281893004115226,0.4835390946502057,0.18827160493827164,0.0,0.32818930041152267
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq0_s3.pipeline.json,3,0.5125523012552301,0.5469387755102041,1.0,0.2803347280334728,0.4874476987447699,0.23221757322175732,0.0,0.2803347280334728
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq0_s4.pipeline.json,4,0.5194942044257113,0.5517241379310345,0.8125,0.2328767123287671,0.48050579557428874,0.2328767123287671,0.053740779768177024,0.2328767123287671
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq10_s0.pipeline.json,0,0.483402489626556,0.6158798283261803,1.0,0.2977178423236514,0.5165975103734439,0.18568464730290457,0.0,0.29771784232365145
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq10_s1.pipeline.json,1,0.5170984455958549,0.6633266533066132,1.0,0.3430051813471502,0.48290155440414506,0.17409326424870467,0.0,0.34300518134715025
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq10_s2.pipeline.json,2,0.5164609053497943,0.6354581673306773,1.0,0.3281893004115226,0.4835390946502057,0.18827160493827164,0.0,0.32818930041152267
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq10_s3.pipeline.json,3,0.5125523012552301,0.5469387755102041,1.0,0.2803347280334728,0.4874476987447699,0.23221757322175732,0.0,0.2803347280334728
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq10_s4.pipeline.json,4,0.5194942044257113,0.5517241379310345,0.8125,0.2328767123287671,0.48050579557428874,0.2328767123287671,0.053740779768177024,0.2328767123287671
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq15_s0.pipeline.json,0,0.483402489626556,0.6158798283261803,1.0,0.2977178423236514,0.5165975103734439,0.18568464730290457,0.0,0.29771784232365145
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq15_s1.pipeline.json,1,0.5170984455958549,0.6633266533066132,1.0,0.3430051813471502,0.48290155440414506,0.17409326424870467,0.0,0.34300518134715025
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq15_s2.pipeline.json,2,0.5164609053497943,0.6354581673306773,1.0,0.3281893004115226,0.4835390946502057,0.18827160493827164,0.0,0.32818930041152267
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq15_s3.pipeline.json,3,0.5125523012552301,0.5469387755102041,1.0,0.2803347280334728,0.4874476987447699,0.23221757322175732,0.0,0.2803347280334728
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq15_s4.pipeline.json,4,0.5194942044257113,0.5517241379310345,0.8125,0.2328767123287671,0.48050579557428874,0.2328767123287671,0.053740779768177024,0.2328767123287671
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq20_s0.pipeline.json,0,0.483402489626556,0.6051502145922747,1.0,0.2925311203319502,0.5165975103734439,0.1908713692946058,0.0,0.2925311203319502
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq20_s1.pipeline.json,1,0.5170984455958549,0.6452905811623246,1.0,0.3336787564766839,0.48290155440414506,0.183419689119171,0.0,0.33367875647668394
output/experiments_draft/08_optimize_whatshap/minbaseq_fine_sweep/bq20_s2.pipeline.json,2,0.5164609053497943,0.6235059760956175,1.0,0.3220164609053498,0.4835390946502057,0.19444444444444445,0.0,0.3220164609053498
