pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall,scenario_label,config_label
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s0,0,2.955998465999073,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.7175,800,638,574,574,1.0,0.0,1,0.9937304075235108,0.9937304075235108,1.0,1.0,0.0,2,0.6018808777429467,0.9297820823244553,0.6473354231974922,baseline,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s1,1,2.9599875419989985,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.66375,800,642,531,531,0.9984177215189872,0.0031695721077654,1,0.9828660436137072,0.9844236760124612,1.0,1.0,0.0,1,0.5607476635514018,0.9399477806788512,0.5965732087227414,baseline,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s2,2,2.995349012000588,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.65375,800,650,523,523,1.0,0.0,1,0.9861538461538462,0.9861538461538462,1.0,1.0,0.0,1,0.563076923076923,0.9556135770234988,0.5892307692307692,baseline,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s3,3,2.9103797930001747,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.665,800,660,532,532,1.0,0.0,1,0.9984848484848484,0.9984848484848484,1.0,0.8672839506172839,0.1733746130030959,1,0.4257575757575758,0.8223350253807107,0.5969696969696969,baseline,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/baseline__runtime_s4,4,2.9764880480015563,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,uniform,0.0,,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,6,20,10,1.0,0.69375,800,629,555,555,1.0,0.0,1,0.985691573926868,0.985691573926868,1.0,1.0,0.0,2,0.5723370429252782,0.9254498714652956,0.6184419713831478,baseline,runtime
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s0,0,2.8723487930001284,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.62,800,638,496,496,1.0,0.0,3,0.9231974921630094,0.9231974921630094,1.0,1.0,0.0,4,0.3573667711598746,0.6422535211267606,0.5564263322884012,dropout,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s1,1,2.8064368850009487,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.62125,800,642,497,497,1.0,0.0,3,0.97196261682243,0.97196261682243,1.0,1.0,0.0,5,0.2647975077881619,0.4899135446685879,0.5404984423676013,dropout,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s2.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s2,2,2.945889298000111,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.6375,800,650,510,510,1.0,0.0,2,0.9738461538461538,0.9738461538461538,1.0,1.0,0.0,5,0.34,0.5989159891598916,0.5676923076923077,dropout,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s3.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s3,3,2.927163168000334,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.56875,800,660,455,455,1.0,0.0,2,0.9651515151515152,0.9651515151515152,1.0,1.0,0.0,4,0.2136363636363636,0.4325153374233129,0.4939393939393939,dropout,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s4.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__balanced_s4,4,3.129097543998796,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,10,8,20,10,1.0,0.63125,800,629,505,505,1.0,0.0,3,0.9364069952305246,0.9364069952305246,1.0,0.9776536312849162,0.0227272727272727,3,0.2782193958664546,0.515850144092219,0.5516693163751988,dropout,balanced
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s0.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s0,0,3.006911839998793,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.60625,800,638,485,485,1.0,0.0,3,0.8040752351097179,0.8040752351097179,1.0,1.0,0.0,6,0.341692789968652,0.6337209302325582,0.5391849529780565,dropout,default
output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s1.pipeline.json,output/experiments_draft/08_optimize_whatshap/transferability_across_scenarios/dropout__default_s1,1,3.0007530309994763,plain,80000,800,0.8,False,ont,q20,map-ont,200,2000,6000,uniform,,,dropout,0.1,1000.0,0,3000,500,0.0,1,200,5.0,0,1,5,0.5,False,False,20,15,15,20,20,1.0,0.615,800,642,492,492,1.0,0.0,3,0.8722741433021807,0.8722741433021807,1.0,1.0,0.0,7,0.2554517133956386,0.478134110787172,0.5342679127725857,dropout,default
