pipeline_json,prefix,seed,time_total_sec,ref_preset,ref_length,num_snps,het_rate,avoid_regions,platform,ont_profile,map_preset,num_reads,min_len,max_len,len_model,ln_mean,ln_sigma,start_model,dropout_fraction,dropout_block_len,dup_segments,dup_len,dup_min_gap,burst_prob,burst_count,burst_len,burst_mult,num_indels,indel_min_len,indel_max_len,indel_het_rate,phase_snps_only,eval_snps_only,call_min_mapq,call_min_baseq,max_coverage,min_mapq,min_baseq,call_precision,call_recall,truth_snps,truth_het_snps,called_snps,shared_snps,oracle_time_vcf_parse_sec,oracle_time_build_readset_sec,oracle_time_readselection_sec,oracle_time_solve_sec,oracle_time_ps_sec,oracle_time_write_sec,oracle_time_total_sec,called_time_vcf_parse_sec,called_time_build_readset_sec,called_time_readselection_sec,called_time_solve_sec,called_time_ps_sec,called_time_write_sec,called_time_total_sec,oracle_phase_accuracy,oracle_switch_error,oracle_num_phase_sets,oracle_effective_phased_recall,oracle_phasing_rate_shared_het,oracle_shared_het_recall,called_phase_accuracy,called_switch_error,called_num_phase_sets,called_effective_phased_recall,called_phasing_rate_shared_het,called_shared_het_recall
output/experiments_draft_profile/dp_scaling/balanced_snps1200_s0.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1200_s0,0,3.5856764119998843,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5675,1200,964,681,681,0.0017858250030258205,0.7785397930019826,0.007561714999610558,0.009169059001578717,0.002437371000269195,0.002332779000425944,0.8027018139982829,0.001433305998943979,0.3034143859986216,0.004400711000926094,0.004299046002415707,0.0009282529972551856,0.002194525000959402,0.3170852080002078,0.9977011494252873,0.004624277456647399,5,0.9004149377593361,0.9024896265560166,1.0,1.0,0.0,5,0.3008298755186722,0.6131078224101479,0.49066390041493774
output/experiments_draft_profile/dp_scaling/balanced_snps1200_s1.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1200_s1,1,3.7761383340002794,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.5891666666666666,1200,965,707,707,0.001774909997038776,0.8154145519984013,0.00767894200180308,0.008668136997584952,0.0025785159996303264,0.002662453000084497,0.8402815040026326,0.0018281820011907257,0.3619770500008599,0.005322308999893721,0.005199177001486532,0.0011524959991220385,0.002810752997902455,0.378751887998078,0.9977477477477478,0.0045351473922902496,6,0.9181347150259067,0.9202072538860103,1.0,1.0,0.0,9,0.34196891191709844,0.6586826347305389,0.5191709844559586
output/experiments_draft_profile/dp_scaling/balanced_snps1200_s2.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1200_s2,2,3.668002553000406,plain,120000,1200,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.6033333333333334,1200,972,724,724,0.002274982001836179,0.7960803060013859,0.007444541999575449,0.009376456997415517,0.0024578680022386834,0.0031459530000574887,0.821575114998268,0.0018365020005148835,0.326205901998037,0.0061487610000767745,0.005679100002453197,0.001089594999939436,0.002390174999163719,0.34379141500176047,1.0,0.0,2,0.9393004115226338,0.9393004115226338,1.0,1.0,0.0,8,0.345679012345679,0.6499032882011605,0.5318930041152263
output/experiments_draft_profile/dp_scaling/balanced_snps1600_s0.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1600_s0,0,4.177768052999454,plain,120000,1600,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.63125,1600,1279,1010,1010,0.002578955998615129,1.0739264299991191,0.010090224001032766,0.010814557997946395,0.003212660001736367,0.00315512900124304,1.1049368040003174,0.0017948980021174066,0.5039415559986082,0.006318227002338972,0.006517431000247598,0.0013934409980720375,0.0033182930019393098,0.523857369000325,1.0,0.0,5,0.9288506645817045,0.9288506645817045,1.0,1.0,0.0,6,0.35809225957779517,0.6334716459197787,0.565285379202502
output/experiments_draft_profile/dp_scaling/balanced_snps1600_s1.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1600_s1,1,4.2068848490016535,plain,120000,1600,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,0.998911860718172,0.57375,1600,1288,919,918,0.002983846999995876,1.0663799220019428,0.009745709998242091,0.011104059998615412,0.0030676099995616823,0.0036501819995464757,1.0980518169999414,0.00173429899950861,0.4859931479986699,0.0063889039993227925,0.006317241997749079,0.0013435600012599025,0.003304974001366645,0.5056013779976638,0.9991095280498664,0.0017873100983020554,4,0.8711180124223602,0.8718944099378882,1.0,1.0,0.0,5,0.3408385093167702,0.6692073170731707,0.5093167701863354
output/experiments_draft_profile/dp_scaling/balanced_snps1600_s2.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps1600_s2,2,4.109518549001223,plain,120000,1600,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.591875,1600,1294,947,947,0.0028649089981627185,1.0993266479999875,0.010740985999291297,0.012349525997706223,0.0035253950009064283,0.002831740002875449,1.1328719230004936,0.0017329509973933455,0.4115488479983469,0.005635229001200059,0.0072038500002236106,0.0012067579991708044,0.002999410000484204,0.4309084790002089,0.9991830065359477,0.001639344262295082,4,0.9451313755795981,0.9459041731066461,1.0,1.0,0.0,8,0.28516228748068007,0.553223388305847,0.5154559505409583
output/experiments_draft_profile/dp_scaling/balanced_snps400_s0.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps400_s0,0,2.872957044000941,plain,120000,400,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.605,400,325,242,242,0.0007691270002396777,0.27871214100014186,0.0041083940013777465,0.004624909000995103,0.0014597519984818064,0.0013150009981472977,0.29139612799917813,0.0007153059996198863,0.11092655299944454,0.00220035899837967,0.0023445900005754083,0.0003414230013731867,0.0015412029970320873,0.11828527499892516,1.0,0.0,5,0.916923076923077,0.916923076923077,1.0,1.0,0.0,5,0.2923076923076923,0.5397727272727273,0.5415384615384615
output/experiments_draft_profile/dp_scaling/balanced_snps400_s1.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps400_s1,1,2.959292766001454,plain,120000,400,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.575,400,330,230,230,0.0006078759979573078,0.2844255419986439,0.0039900750016386155,0.004184801000519656,0.0009489049989497289,0.0013065839993942063,0.29583598200042616,0.0005726649978896603,0.14716495500033488,0.0031901639995339792,0.002949569003249053,0.0004527319979388267,0.0012680629988608416,0.1558138330001384,1.0,0.0,6,0.9151515151515152,0.9151515151515152,1.0,0.9327731092436975,0.008771929824561403,5,0.33636363636363636,0.7,0.5151515151515151
output/experiments_draft_profile/dp_scaling/balanced_snps400_s2.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps400_s2,2,2.8418961699971987,plain,120000,400,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.565,400,311,226,226,0.0006786550002289005,0.26901656199697754,0.0038576770020881668,0.004318351999245351,0.0011386090009182226,0.0013202589980210178,0.2807848880001984,0.0005521350030903704,0.1079871030015056,0.002779430000373395,0.002558928998041665,0.00033083300149883144,0.0012012589977530297,0.11559881900029723,1.0,0.0,4,0.9260450160771704,0.9260450160771704,1.0,1.0,0.0,8,0.29260450160771706,0.6408450704225352,0.4565916398713826
output/experiments_draft_profile/dp_scaling/balanced_snps800_s0.pipeline.json,output/experiments_draft_profile/dp_scaling/balanced_snps800_s0,0,3.372874266002327,plain,120000,800,0.8,False,ont,q20,map-ont,300,2000,6000,uniform,,,dropout,0.1,1000,5,3000,500,0.6,2,300,8.0,120,1,5,0.5,True,True,20,10,8,20,10,1.0,0.66,800,638,528,528,0.0016375410014006775,0.5651646020014596,0.0060509140021167696,0.006505285000457661,0.0016710529998817947,0.0018726179987424985,0.5834698170001502,0.0011300980004307348,0.24793904300167924,0.0043489989984664135,0.003996580999228172,0.0007254590018419549,0.002134963997377781,0.26062192099925596,1.0,0.0,5,0.9435736677115988,0.9435736677115988,1.0,1.0,0.0,5,0.3605015673981191,0.6068601583113457,0.5940438871473355
